book,sheet,county,party,candidate,votes
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lewis,REP,Ted Cruz,263
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lincoln,REP,Ted Cruz,279
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Madison,REP,Ted Cruz,4079
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Minidoka,REP,Ted Cruz,1163
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Nez Perce,REP,Ted Cruz,1583
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Oneida,REP,Ted Cruz,473
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Owyhee,REP,Ted Cruz,717
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Payette,REP,Ted Cruz,1364
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Power,REP,Ted Cruz,421
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Shoshone,REP,Ted Cruz,591
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Teton,REP,Ted Cruz,465
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Twin Falls,REP,Ted Cruz,4717
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Valley,REP,Ted Cruz,476
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Washington,REP,Ted Cruz,783
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Ada,REP,Ted Cruz,20156
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Adams,REP,Carly Fiorina,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bannock,REP,Carly Fiorina,10
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bear Lake,REP,Carly Fiorina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Benewah,REP,Carly Fiorina,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bingham,REP,Carly Fiorina,18
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Blaine,REP,Carly Fiorina,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boise,REP,Carly Fiorina,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonner,REP,Carly Fiorina,8
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonneville,REP,Carly Fiorina,11
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boundary,REP,Carly Fiorina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Butte,REP,Carly Fiorina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Camas,REP,Carly Fiorina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Canyon,REP,Carly Fiorina,25
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Caribou,REP,Carly Fiorina,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Cassia,REP,Carly Fiorina,6
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clark,REP,Carly Fiorina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clearwater,REP,Carly Fiorina,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Custer,REP,Carly Fiorina,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Elmore,REP,Carly Fiorina,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Franklin,REP,Carly Fiorina,9
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Fremont,REP,Carly Fiorina,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gem,REP,Carly Fiorina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gooding,REP,Carly Fiorina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Idaho,REP,Carly Fiorina,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jefferson,REP,Carly Fiorina,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jerome,REP,Carly Fiorina,3
